src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
- You think they'd wanna talk to me? 	 - Tu crois qu'ils 	 Most of your kids in the project are raised by single parents. They're not raping' and killin' people. Really, Helen, you're being suckered. What about the parents of these victims? - Have you counseled them? 	 Les enfants de tes HLM n'ont souvent qu'un parent. Ils ne violent pas et ne tuent pas. Helen, il t'exploite. Et les  parents  des victimes ? - Tu les as suivis ? 	 None 	 parents 
How many prison guards and prisoners do they have to kill before it's over? 	 Combien de gardiens et de détenus doivent-ils 	 Jesus also said "He who lives by the sword shall die by the sword." Purcell had it coming to him. He had it coming! Nine, eight, seven, six, five, four, three, two, one. It's the only way we can be sure that they will not kill again. Life without parole. Oh, sure! 	 Jésus a dit : "Celui qui vit par l'épée périra par l'épée." Purcell l'a bien cherché ! Neuf, huit, sept, six... C'est le seul moyen d'être sûr qu' ils  ne tueront plus. La perpétuité sans conditionnelle ? 	 None 	 ils 
It's hard to have sympathy for them when they want to kill me. 	 C'est dur de compatir vu qu'ils 	 You want me to go, you say so. Do you ever think about those kids? It's terrible what happened to them kids. It didn't have to happen. Do you ever think about what you and Vitello did to their parents? 	 Si tu veux que je parte, dis-le. Tu ne penses jamais à ces  adolescents  ? - C'est une histoire terrible. - Qui ne devait pas arriver ! Tu penses à ce que toi et Vitello avez fait à leurs parents ? 	 None 	 adolescents 
Yeah, well, they sewed that guy's dick back on. 	 Ouais, bien, Ils 	 All right, you know, we're all buddies here. No one wants Norman to lose his finger. We just want to chop it off. You know, if fate doesn't smile on old Norman, we'll put that fucker on ice, whisk it right to the hospital, where in all likelihood they'll be able to sew it right back on. Well, hopefully, sir. 	 Très bien, tu sais, on est tous potes ici. Personne ne veut que Norman perde son doigt. On veut seulement le couper Tu sais, si le destin ne souris pas à notre vieux Norman, On le foutra dans la glace, et on l'amènera directement à l'hôpital, Où dans tous les cas,  ils  pourront le recoudre. Et bien, espérons, monsieur. 	 None 	 ils 
It was written for a different way of playing it, and I really liked the idea, and it was totally hers. 	 Le scénario prévoyait un jeu différent, mais l'idée m'a plu, et c'est elle 	 Maybe two. This scene coming up here was Rene's hardest scene. But the idea of her being dressed as if she was in a B-movie was totally her idea. Rene came to me in preproduction and said, "What if I come in dressed like a real bimbo?" 	 Ou peut-être deux. La scène qui vient a été la plus difficile pour  Rene . L'idée d'être habillée comme dans un film de série B vient d'elle. Pendant la préproduction, elle m'a dit: "Et si j'arrivais habillée comme une vraie bimbo?" 	 None 	 Rene 
They rely on satellite navigation which links them to our network, and the virus, wherever they are. 	 Ils dépendent d'une navigation par satellite, ce qui les relient à notre réseau et au virus, peu importe oû ils 	 Leonardo da Vinci. We have 26 ships at sea and don't know which ones are infected. Well, put the ship's ballast under manual control. There's no such thing any more. These ships are totally computerised. 	 Léonard de Vinci. Nous avons 26 bateaux en mer mais nous ne savons pas lesquels sont infectés. Dans ce cas, passez en contrôle manuel. lmpossible. Ces  bateaux  sont complêtement informatisés. 	 None 	 bateaux 
The neighbors reported the smell... and there they are... all just sitting there. 	 Les voisins ont signalé l'odeur. Et ils 	 I don't want to either. Neither do I. You know, I have this recurring dream. I'm sitting at this big banquet table and... all the victims of all the murders I ever worked are there... and they're staring at me with these black eyeballs... because they got eight-ball hemorrhages from the head wounds. And there they are, these big balloon people... because I found them two weeks after they'd been under the bed. 	 Je n'y tiens pas. Moi non plus. Je fais souvent le même rêve. Je suis assis à une table de banquet, avec... toutes les victimes de meurtres que j'ai vues. Elles sont là à me regarder de leurs orbites noires, parce qu'elles ont des blessures grosses comme le poing.  Ils  sont là, gonflés comme des ballons, comme je les trouve après 15 jours. 	 None 	 Ils 
They loves it when you're looking at 'em, but when you ain't they just spits it out. 	 Lls l'adorent quand on les regarde sinon, ils 	 Hot corn. You must try our corn. Pick it up and eat it with your hands. It's like with all your Frenchie guests when we cook it for 'em. They love our corn! 	 Du maïs chaud. Faites confiance à notre maïs. Prenez-le et mangez avec les doigts. C'est comme quand nous le cuisinons pour vos  hôtes  français. Ils raffolent de notre maïs! 	 None 	 hôtes 
If the angels was to come down from heaven, they'd treat them the same as they do us. 	 Si les anges descendaient du paradis, ils 	 You don't know nothin'! Old Master, he never gonna marry again. I was there when he do promise Mrs Jefferson on her deathbed. White folks' promises. They keep 'em when they make 'em to other white folk. 	 Tu ne sais rien! Mon maître ne se remariera jamais. Il l'a promis à Mme Jefferson sur son lit de mort. Des promesses de Blanc! Lls les respectent quand  ils  les font à d'autres Blancs. 	 None 	 ils 
In Italy it is a vast, cerulean blue. 	 En Italie, il 	 Certainly not difficult to unlearn. Tell me about America. Madam, the subject is as large as the land itself. England is so small. Even the sky is small. 	 Certainement pas à désapprendre. Parlez-moi de l'Amérique. Madame, le sujet est aussi vaste que le pays lui-même. L'Angleterre est si petite. Même le  ciel  est étriqué. 	 None 	 ciel 
Then he is safe, for it will never break or hurt him very much. 	 Alors il 	 He will be heartbroken. I don't think we need fear for Mr Jefferson's heart. But he has one, believe me. A great and tender heart. He wears it under a suit of armour. 	 Cela lui brisera le cœur. Inutile de craindre pour le cœur de M. Jefferson. Il en a pourtant un, croyez-moi. Un grand  cœur  tendre. Il le porte sous son armure. 	 None 	 cœur 
Joseph, they're different than you are. 	 Joseph, ils 	 Son, you're getting older, bigger and where once your brothers might resent you as you gain strength and position, they begin to feel very threatened by you. I want you to try and make peace with them. Yes, Father. That's also what I want, but sometimes their anger is... Time will ease that if you're more careful of their feelings. 	 Mon fils, tu grandis, tu prends de l'âge, et si tes  frères  t'en voulaient, autrefois, quand tu deviendras fort et puissant ils se sentiront menacés par toi. Je veux que tu essaies de faire la paix avec eux. Oui, Père. Je le veux aussi, mais parfois leur colère... Le temps fera son œuvre si tu fais attention à leurs sentiments. 	 None 	 frères 
But they do care what happens to our money. 	 Mais ils 	 Starvation kills us all. Unless... Well, Hirah, my old friend and ally says the reports of vast stocks of grain and fodder in Egypt are true. Which is all well and good for the Egyptians, but why should they care what happens to us? - They don't. 	 La famine nous tuera tous. A moins... Hira, mon vieil ami et allié dit que le grain et le fourrage est abondant en Egypte. C'est très bien pour les  Egyptiens , mais pour nous, - qu'advient-il? - Rien. 	 None 	 Egyptiens 
Under the surface is where it will stay. 	 Qu'elle 	 It's all right. You must take better care of yourself. You don't need to be doing this heavy work. It's better that I work. There's enough anger boiling under the surface. 	 - Allez. Tout va bien. Prends davantage soin de toi. Tu n'as pas besoin de besogner ainsi. Je préfère travailler. Sous la surface, tout n'est que  colère . 	 None 	 colère 
why do they embrace me? 	 pourquoi donc m'avaient-ils 	 Why can no one see into the world beyond! My friends embrace me, They have pressed their hearts to my heart; How happy the soul is in me! Later I found out: 	 Pourquoi personne ne peut-il voir dans le monde de l'au-delà! Mes  amis  m'enlacent, Ils pressent leur poitrine contre ma poitrine; Quel bonheur pour mon âme, alors en moi! Je l'ai appris plus tard: 	 None 	 amis 
While they embraced me they felt out: 	 Pendant qu'ils 	 My friends embrace me, They have pressed their hearts to my heart; How happy the soul is in me! Later I found out: why do they embrace me? 	 Mes  amis  m'enlacent, Ils pressent leur poitrine contre ma poitrine; Quel bonheur pour mon âme, alors en moi! Je l'ai appris plus tard: pourquoi donc m'avaient-ils enlacé? 	 None 	 amis 
We didn't even know if they loved us. 	 On se demandait même s'ils 	 Oh, my. I'm so sorry. How terribly awful. It's okay. We barely even knew our parents. They were always away... skiing in Saint Moritz, gambling in Monte Carlo... safariing in darkest Africa. 	 Je suis désolée. C'est vraiment affreux. Ce n'est pas grave. On a à peine connu nos  parents . Toujours partis. Le ski à St-Moritz, les casinos à Monte-Carlo, les safaris en Afrique. 	 None 	 parents 
But when the sheik's yacht went down, well... they managed to write us a really beautiful good-bye note... that was found floating in a champagne bottle amongst the debris. 	 Quand le yacht de l'Emir a coulé, ils 	 How terribly awful. It's okay. We barely even knew our parents. They were always away... skiing in Saint Moritz, gambling in Monte Carlo... safariing in darkest Africa. We didn't even know if they loved us. 	 C'est vraiment affreux. Ce n'est pas grave. On a à peine connu nos  parents . Toujours partis. Le ski à St-Moritz, les casinos à Monte-Carlo, les safaris en Afrique. On se demandait même s'ils nous aimaient. 	 None 	 parents 
Yeah, it folded up, like everything else in this town. 	 Elle 	 My dad used to make shoes here. They were the best shoes in New England. Sorry. Easy, girl. Do you know what happened to this shoe factory? 	 Mon père fabriquait des chaussures. Les meilleures de Nouvelle-Angleterre. Pardon. Doucement, ma belle. Qu'est-il arrivé à cette  usine  ? 	 None 	 usine 
Is it yours? - Yeah. 	 Elle 	 - Go ahead and ask him. - Ask him! - Yo. I got a '93 Infinity. It's fully loaded. Fully loaded. - Oh, yeah? 	 - Demande-lui. - Demande-lui. - Bon, j'ai une  Infinity 93 . Toutes les options. - Ah ouais? 	 None 	 Infinity 93 
- You think they'll give us trouble? 	 Ils 	 Let us hope so. I'll need those witless peasants to dig up my gold, won't I? This New World's going to be great, John. I'm going to get a pile of gold, build me a big house, and if any Indian tries to stop me, I'll blast him. Just worry about that fortune of yours, Thomas. - Leave the savages to me. 	 Espérons-le. J'ai besoin de ces paysans demeurés... pour déterrer mon or, pas vrai ? Le Nouveau Monde sera merveilleux. J'aurai un monceau d'or, une grande maison, et si un Indien me barre la route, je le pulvériserai ! Pense à faire fortune, et laisse-moi... les  sauvages . 	 None 	 sauvages 
